STATE_CD,LAND_USE,OWN_CD,POINT_COUNT,OWN_ID,RESPONSE,ACRES_FOREST,OWN_TYPE,HOME,OBJECTIVE_TIMBER,OWNER_AGE
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,2,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,2,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,2,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,41,1,-1,,,,,,
1,1,42,1,-1,,,,,,
1,1,42,1,-1,,,,,,
1,1,42,1,-1,,,,,,
1,1,42,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,43,1,-1,,,,,,
1,1,44,11,-1,,,,,,
1,1,44,1,-1,,,,,,
1,1,44,1,-1,,,,,,
1,1,44,3,-1,,,,,,
