VARIABLE,DATA_TYPE,UNITS,LEVELS,LABELS
STATE_CD,,,,
LAND_USE,,,,
OWN_CD,,,,
POINT_COUNT,,,,
OWN_ID,,,,
RESPONSE,,,,
ACRES_FOREST,NUMERIC,ACRES,-1,"""No answer"""
OWNER_AGE,NUMERIC,YEARS,-1,"""No answer"""
OBJECTIVE_TIMBER,ORDERED,,"5, 4, 3, 2, 1, 8, -1","""Very important"", ""Important"", ""Moderately important"", ""Of little importance"", ""Not important"", ""Not applicable"", ""No answer"""
OWN_TYPE,FACTOR,,"1, 2, 3, 4, 5, 6, 7, -1","""Individual"", ""Joint, with husband or wife"", ""Joint such as with other family members or friends"", ""Family partnership or family LLC or LLP"", ""Family trust or estate"",""Corporation or business"",""Other"", ""No answer"""
HOME,FACTOR,,"1, 0, 8, -1","""Yes"", ""No"", ""Not applicable"", ""No answer"""
